Plate,Name,Faculty,Status,Timestamp,Latency,Det,OCR
KYU86,John Doe,Prof,AUTHORIZED,11/20/2025 11:57,,,
KYU86,John Doe,Prof,AUTHORIZED,11/20/2025 11:57,,,
KYU86,John Doe,Prof,AUTHORIZED,11/20/2025 11:57,,,
FAS4527,Nestor,Student,AUTHORIZED,11/20/2025 11:57,,,
FAS4527,Nestor,Student,AUTHORIZED,11/20/2025 11:58,,,
FAS4527,Nestor,Student,AUTHORIZED,11/20/2025 11:58,,,
FAO5097,Unknown,Visitor,UNAUTHORIZED,11/20/2025 11:58,,,
FAO5097,Unknown,Visitor,UNAUTHORIZED,11/20/2025 11:59,,,
FAO5097,Unknown,Visitor,UNAUTHORIZED,11/20/2025 11:59,,,
FAO5097,Unknown,Visitor,UNAUTHORIZED,11/20/2025 11:59,,,
FAO5097,Unknown,Visitor,UNAUTHORIZED,11/20/2025 12:04,,,
FAO5097,Unknown,Visitor,UNAUTHORIZED,11/20/2025 12:06,,,
FAS4527,Nestor,Student,AUTHORIZED,11/20/2025 12:07,,,
FASL527,Unknown,Visitor,UNAUTHORIZED,11/20/2025 12:07,,,
FAS4527,Nestor,Student,AUTHORIZED,11/20/2025 12:07,,,
FAS4527,Nestor,Student,AUTHORIZED,11/20/2025 12:21,0.0258,,
FASL527,Unknown,Visitor,UNAUTHORIZED,11/20/2025 12:21,0.0272,,
KYU86,John Doe,Prof,AUTHORIZED,11/20/2025 12:22,0.04,,
86KYU,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:47,0,,
KYU86,John Doe,Prof,AUTHORIZED,11/30/2025 13:47,0,,
ABF9278,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:48,0,,
9278ABF,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:48,0,,
FAF1207,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:48,0,,
FAS4527,Nestor,Student,AUTHORIZED,11/30/2025 13:48,0,,
FAS4527,Nestor,Student,AUTHORIZED,11/30/2025 13:56,0.1631,,
45271FAS,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:57,2.5261,,
KYU86,John Doe,Prof,AUTHORIZED,11/30/2025 13:58,0,,
92781ABF,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:58,1.8613,,
FAF1207,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:58,0.7761,,
FAJ5873,Unknown,Visitor,UNAUTHORIZED,11/30/2025 13:59,2.529,,
FAS4527,Nestor,Student,AUTHORIZED,11/30/2025 13:59,0.1025,,
